Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
BaumInvest Flor Morado Reforestation Project Punta Hermosa Moriche Solo,"The ""Bauminvest Flor Morado Reforestation Project 01"" is the second of the several voluntary project activity (VPA) in Colombia that will be included into the broader framework of the Programme of Activities (PoA) “BaumInvest Forest Landscape Restoration Programme” (GS11707).
The ""Bauminvest Flor Morado Reforestation Project 01” consists of the ecological restoration of an estimation of 2,546 hectares of former cattle pastures, which are located in the department of Vichada, in the Orinoquia region, in the municipality of Cumaribo (Colombia).
The main objectives of the ""Bauminvest Flor Morado Reforestation Project 01"" are to: 
• mitigate climate change through long-term carbon sequestration through planted trees and regeneration of secondary forests. 
• contribute to sustainable socio-economic development and poverty reduction through long-term employment in in the remote, rural, and poorly developed eastern plains of Colombia. 
• protect biodiversity by conserving natural habitats and improving habitat connectivity.",Colombia,CO,Gold Standard for the Global Goals,BaumInvest AG,Large Scale,A/R,2024-07-04 - 2064-07-04,GOLD_STANDARD_CERTIFIED_DESIGN,Afforestation/Reforestation GHG Emissions Reduction & Sequestration Methodology,57612,11707,3596,https://platform.sustain-cert.com/public-luf-project/4173
PoA EcoLinks Ghana Woodfire and Charcoal ICS Program,"The purpose of this PoA is to distribute energy-efficiency improved cookstoves (ICS)fueled by Charcoal to replace existing traditional low efficiency cookstoves within households and community kitchens in the Republic of Ghana.
The purpose of the POA is to disseminate the use of ICS in the Republic of Ghana, replacing traditional three-stone cookstoves with more efficient ICS.
ICS results in a notably more complete combustion of the fuel and is more efficient in transferring heat from the fuel to the cooking pot. This significantly reduces fuel consumption compared with the traditional three stone stoves in most households in the country. Furthermore, the proposed ICS will not generate any negative impact on any common cultural cooking practice since it will be compatible with all cooking utensils and cooking habits of the Ghanaian population.
By replacing inefficient cook stoves with the project ICSs, it is expected that this programme will help control the rapid forest loss and improve the quality of life of Ghanaians.
Additionally, the ICS will avoid/reduce time for harvesting fuel used for cooking and, since it has higher heating efficiency, it will consume less time for cooking, that historically is dominated by women. This efficiency will save money for the community and will enable women to spend time studying and pursuing other activities, empowering them, while promoting a sustainable development of local communities. In the absence of this project, Ghana community would maintain their baselines cooking conditions and, primarily, would cook using traditional inefficient stoves, continuing with environmental and health degradation.",Ghana,GH,Gold Standard for the Global Goals,"EcoLinks Co., Ltd",Large Scale,Energy Efficiency - Domestic,2025-01-02 - 2030-01-01,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,0,N/A,N/A,https://platform.sustain-cert.com/public-project/4117
Oeste de Caucaia Landfill Project Activity,"The primary objective of the Oeste de Caucaia Landfill Project Activity is to avoid greenhouse gases emission by the Oeste de Caucaia Landfill through landfill gas capture, purification and injection in a distribution grid, while contributing to the environmental, social and economic sustainability by minimizing global climate changes and local air pollution.

The Oeste de Caucaia - Ecofor is a municipal solid waste (MSW) landfill located in Caucaia, Brazil. The landfill is owned by the municipality of Caucaia and operated since 2003 by ECOFOR, under a 20 year concession. The site property covers 116 hectares (ha), of which 84.1ha have been designated for waste disposal and is divided in 6 different disposal areas.

Previously to the implementation of the proposed CDM Project Activity no active collection of LFG took place in the project site. On the contrary, only a small portion of the gas was destructed using a passive venting system

The proposed CDM Project Activity consists of capturing the landfill gas (LFG) generated by the landfill using an active LFG capture system and injecting it into a natural gas distribution network (after a purification process), displacing the use of natural gas. Any LFG excess will be flared. GNR Fortaleza Valorização de Biogás Ltda., which is the project activity implementer, understands that flaring shall be always the very last option of any CDM project related to LFG destruction.

The project activity is expected to have 7,500Nm3/h processing capacity. Depending on the project performance up to 2017, a second and third phase may be implemented. Then, 12,500Nm3/h processing capacity may be achieved from 2018 to 2028 (phase II) and 15,000 Nm3/h in 2029 onwards (phase III). Then, the estimated emission reductions considered this expansion scenario, resulting in an annual average 498,097 tCO2e/yr. By the end of the first crediting period, the project is expected to reduce on total 3,486,678 tCO2e.

The Oeste de Caucaia Landfill Project Activity will have a substantial positive impact in terms of sustainable development as it will be one of the first projects that purify the LFG and injects it to a network distribution grid being developed in Brazil that, as consequence, directly displaces natural gas.
An environmental benefit with the implementation of the Oeste de Caucaia Landfill Project is the destruction of methane that otherwise would be emitted to the atmosphere, increasing the impact on global warming. Despite of being possibly flared if necessary, the landfill gas collected will be primarily injected (after the upgrading process) into the natural gas distribution grid, therefore avoiding the consumption of natural gas.

",Brazil,BR,Gold Standard for the Global Goals,GNR FORTALEZA VALORIZACAO DE BIOGAS LTDA,Large Scale,Other,2016-04-22 - 2021-04-21,LISTED,ACM0001 Flaring or use of landfill gas,498097,N/A,N/A,https://platform.sustain-cert.com/public-project/3275
GS12456 VPA 01 Sustainable agricultural practices for rice cultivation in India,"Rice is the most prominent food crop in India. This project aims to reduce methane (CH4) emissions through improved water management practices involving alternate wetting and drying (AWD) of the paddy lands. AWD is a proven method to reduce CH4 emission by as much as 48% compared to continuously flooded conditions where high rates of CH4 are emitted by the lands due to the anaerobic decomposition of the organic matter .

",India,IN,Gold Standard for the Global Goals,Kosher Climate India Pvt Ltd.,Small Scale,Other,2023-01-01 - 2033-01-01,LISTED,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,58634,12456,4636,https://platform.sustain-cert.com/public-luf-project/3704
Sustainable agricultural practices for rice cultivation in India,"Rice is the most prominent food crop in India.  This project aims to reduce methane (CH4) emissions through improved water management practices involving alternate wetting and drying (AWD) of the paddy lands. AWD is a proven method to reduce CH4 emission by as much as 48% compared to continuously flooded conditions where high rates of CH4 are emitted by the lands due to the anaerobic decomposition of the organic matter 

",India,IN,Gold Standard for the Global Goals,Kosher Climate India Pvt Ltd.,Large Scale,Other,2023-01-01 - 2043-01-01,LISTED,Methane Emission Reduction By Adjusted Water Management Practice In Rice Cultivation,0,N/A,N/A,https://platform.sustain-cert.com/public-luf-project/3703
Vita Green Impact Programme Ethiopia Stove Project,This project involves the distribution of improved cookstoves within Ethiopia.,Ethiopia,ET,Gold Standard for the Global Goals,FinanCarbon Impact ,Large Scale,Energy Efficiency - Domestic,2023-08-01 - 2028-07-31,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,1045363,N/A,N/A,https://platform.sustain-cert.com/public-project/3723
OYU Clean Water for Future Leaders VPA01,"The primary purpose of this project is to address the acute water crisis in Tanzania by providing sustainable access to safe drinking water for households, institutional buildings, and nearby communities through water stations. A key aspect of the project is the improvement of public health by reducing the incidence of waterborne diseases such as cholera, dysentery, and typhoid. Additionally, the project emphasizes community engagement and education, involving local communities in the maintenance and management of water systems and educating them on best practices for water use and hygiene. The project alleviates the burden of water collection on women and girls, freeing up time for education and economic activities. It will also reduce energy consumption by minimizing the need for boiling water with wood or charcoal, thereby lowering energy costs and deforestation. Furthermore, the project will promote decent work and economic growth by generating local jobs in the installation, maintenance, and distribution of water purification systems, fostering economic development.","Tanzania, United Republic of",TZ,Gold Standard for the Global Goals,SHRI MAA MARKETING PRIVATE LIMITED,Large Scale,Energy Efficiency - Domestic,2023-09-01 - 2028-08-31,LISTED,GS Methodology for emission reductions from safe drinking water supply,98165,12980,4633,https://platform.sustain-cert.com/public-project/4228
OYU Clean Water for Future Leaders,"The primary purpose of this project is to address the acute water crisis in Tanzania by providing sustainable access to safe drinking water for households, institutional buildings, and nearby communities through water stations. A key aspect of the project is the improvement of public health by reducing the incidence of waterborne diseases such as cholera, dysentery, and typhoid. Additionally, the project emphasizes community engagement and education, involving local communities in the maintenance and management of water systems and educating them on best practices for water use and hygiene. The project alleviates the burden of water collection on women and girls, freeing up time for education and economic activities. It will also reduce energy consumption by minimizing the need for boiling water with wood or charcoal, thereby lowering energy costs and deforestation. Furthermore, the project will promote decent work and economic growth by generating local jobs in the installation, maintenance, and distribution of water purification systems, fostering economic development.","Tanzania, United Republic of",TZ,Gold Standard for the Global Goals,SHRI MAA MARKETING PRIVATE LIMITED,Large Scale,Energy Efficiency - Domestic,2023-09-01 - 2028-08-31,LISTED,GS Methodology for emission reductions from safe drinking water supply,98165,N/A,N/A,https://platform.sustain-cert.com/public-project/4227
Jiko Sawa Improved Cookstove Project,"This Voluntary Project Activity (VPA) under the PoA ‘Clean Cooking and Safe Water PoA in Africa by EcoAct’, GS 11253, involves the distribution of improved cookstoves to households in Embu County, Kenya. The objective of this improved cookstove project is to positively impact the lives of beneficiaries, reduce local pressure on forest resources, and avoid greenhouse gas emissions released by cooking with an open fire three-stone traditional cookstove. ",Kenya,KE,Gold Standard for the Global Goals,ECOACT SAS,Large Scale,Energy Efficiency - Domestic,2025-01-02 - 2030-01-01,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,57678,11253,3274,https://platform.sustain-cert.com/public-project/4101
Providing improved cookstoves to prevent deforestation and to enhance livelihoods for Timor Leste,"The project aims to prevent deforestation in the municipality of Lautem in Timor-Leste, by distributing Improved Cookstoves (hereinafter referred to as ‘ICS’) and promoting people to use them instead of traditional stoves. The project, thereof, will ensure less consumption of firewood in households, reduction and carbon dioxide (CO2) emissions, which therefore contributes to the mitigation of climate change. In addition, this project will contribute to sustainable development of the local communities, by promoting better health through reduction of in-door harmful materials and gas or smoke generated from incomplete combustion such as soot, carbon monoxide and so on, and offering more chances to participate in economic activities. As a result, this project will contribute to SDGs of Timor-Leste through this project including SDG 1 (No Poverty), SDG 3 (Good Health and Well Being), SDG 5 (Gender Equality), SDG 7 (Affordable and Clean energy), SDG 8 (Decent Work and Economic Growth), SDG 13 (Climate Action) and SDG 15 (Life on Land), in both quantitative and qualitative ways.",Timor-Leste,TL,Gold Standard for the Global Goals,Timor Holdings Ltd.,Large Scale,Energy Efficiency - Domestic,2023-08-28 - 2028-08-28,LISTED,GS TPDDTEC V4.0: REDUCED EMISSIONS FROM COOKING AND HEATING – TECHNOLOGIES AND PRACTICES TO DISPLACE DECENTRALIZED THERMAL ENERGY CONSUMPTION,38775,N/A,N/A,https://platform.sustain-cert.com/public-project/4226
